bin,name,map_pluto_bbl,construction_year,feature_code,last_status_type,height_roof,borough_nta,nta_name,nta_key,the_geom,doitt_id,shape_area,base_bbl,objectid,geometry_source,ground_elevation,last_edited_date,length
3230645,,3082140024,1.96,2.1,Constructed,"29,92",Brooklyn,Canarsie,canarsie,"MULTIPOLYGON (((-73.89280709054 40.647288554695, -73.892829069635 40.64727428845, -73.892908004228 40.647223052227, -73.892955419045 40.647265432451, -73.89287480266 40.64731776037, -73.892854505339 40.647330934961, -73.89280709054 40.647288554695)))",608022,"120,57421875",3082140024,607.770,Photogrammetric,12.0,2017 Aug 22 03:17:55 PM,"45,87933248333"
2004246,,2026120007,1.927,2.1,Constructed,"118,02",Bronx,Morrisania,morrisania,"MULTIPOLYGON (((-73.903275714256 40.83178750695, -73.903368510996 40.831650849042, -73.903350237704 40.831643691001, -73.903283266765 40.831742316528, -73.903282659644 40.831743210211, -73.90318171928 40.831703665816, -73.903049422295 40.831651838338, -73.902926292942 40.831603600593, -73.902880871423 40.83167048896, -73.902842013236 40.831655265777, -73.902756423384 40.831621735741, -73.902751845009 40.831619941696, -73.902741410975 40.831635307053, -73.902711024882 40.831680054948, -73.902702883897 40.831692043577, -73.902695510384 40.831689154871, -73.902689330979 40.831698255465, -73.902621131632 40.831671536939, -73.902626360548 40.831663836716, -73.902587655272 40.831648673009, -73.902574851467 40.831643657242, -73.902508392806 40.831617621794, -73.902524554824 40.831593820958, -73.902458496723 40.831567941605, -73.902456355651 40.831567102334, -73.902661535155 40.831264947907, -73.902695522252 40.831214897342, -73.902726679661 40.831227103725, -73.902835653665 40.831269795317, -73.902918581872 40.831302283884, -73.903053918571 40.831102982143, -73.903062554859 40.831090262702, -73.903102075112 40.83110574481, -73.903126158849 40.831115179721, -73.903142788632 40.83109069031, -73.903151201233 40.831093985984, -73.903203881905 40.831114623639, -73.90323465309 40.831126679178, -73.903218712426 40.831150153421, -73.903242940752 40.831159644259, -73.903130355446 40.831325444396, -73.903110929386 40.8313178333, -73.903068016331 40.831381030019, -73.90308258559 40.831386737896, -73.903044454588 40.831442891348, -73.903065553728 40.83145115672, -73.903133857297 40.831477915594, -73.903161317905 40.831437476702, -73.903199087134 40.831452272929, -73.903216124495 40.831427182321, -73.903251493016 40.831375096733, -73.903435395925 40.831447141899, -73.90341111007 40.831482907244, -73.903395919072 40.831505278131, -73.903383282472 40.831523887986, -73.903399439533 40.831530217594, -73.903446623952 40.83154870195, -73.903501314324 40.831468162404, -73.903573664334 40.831361614184, -73.903563018178 40.831357444094, -73.903576194089 40.831338039532, -73.903639553237 40.831362860609, -73.903676818765 40.831307980438, -73.903556395856 40.831260804606, -73.903453377785 40.831220446462, -73.90353027322 40.831107204186, -73.903689476896 40.831169573177, -73.903743805487 40.831089564501, -73.903589925666 40.831029233353, -73.903660513134 40.830925280626, -73.904037085856 40.831072803952, -73.904071555182 40.83108630764, -73.904001442229 40.831189561325, -73.903935815251 40.831163851569, -73.903893613389 40.831147318434, -73.903792841646 40.831295723387, -73.903797367893 40.831297496636, -73.903848598628 40.831317567274, -73.903803917217 40.831383369726, -73.90375233098 40.831363160095, -73.903726501733 40.831353041283, -73.90370415978 40.831385942937, -73.903717983805 40.831391358351, -73.903674252687 40.831455760374, -73.903665958504 40.831452510763, -73.90356185794 40.831605815923, -73.903583516462 40.831614300488, -73.903524573869 40.831701103962, -73.903502915326 40.831692619386, -73.903444692548 40.831778361736, -73.903403092368 40.831839623609, -73.903415994619 40.831844678088, -73.903372975773 40.831908030613, -73.903243487604 40.831857302515, -73.903286453075 40.831794029237, -73.903287694645 40.831792200472, -73.903275714256 40.83178750695)))",156646,"8.818,7890625",2026120007,876.826,Photogrammetric,79.0,2017 Aug 22 06:08:35 PM,"879,08231315988"
4460309,,4085100031,1.948,2.1,Constructed,"25,48220049",Queens,Glen Oaks-Floral Park-New Hyde Park,glenoaksfloralparknewhydepark,"MULTIPOLYGON (((-73.716905989248 40.745798257836, -73.716975218714 40.745735819018, -73.71707521169 40.745799946964, -73.717046975556 40.745825413402, -73.717049560376 40.74582707039, -73.717020312725 40.745853450156, -73.716945049616 40.745805181512, -73.716933303951 40.745815775979, -73.716905989248 40.745798257836)))",806457,"155,1015625",4085100031,254.322,Photogrammetric,109.0,2017 Aug 22 07:38:07 PM,"53,88534441537"
3349310,,3081710159,1.999,2.1,Constructed,"27,42",Brooklyn,Canarsie,canarsie,"MULTIPOLYGON (((-73.898500447146 40.648437074375, -73.898649989557 40.64833981518, -73.898699032405 40.648383560549, -73.898549491147 40.648480820708, -73.898500447146 40.648437074375)))",855850,"184,75",3081710159,1.012.901,Photogrammetric,14.0,2017 Aug 22 03:21:42 PM,"60,70456515057"
4167644,,4079910014,1.93,2.1,Constructed,"28,71",Queens,Bellerose,bellerose,"MULTIPOLYGON (((-73.724877576844 40.726626018403, -73.724895875496 40.726522242819, -73.724972415227 40.726530053913, -73.724950840437 40.726652419089, -73.724901188731 40.726647352152, -73.724904466183 40.726628762577, -73.724877576844 40.726626018403)))",676231,"147,5859375",4079910014,166.350,Photogrammetric,88.0,2017 Aug 22 06:58:40 PM,"53,46315289493"
4238984,,4110920016,1.925,2.1,Constructed,"25,52",Queens,Queens Village,queensvillage,"MULTIPOLYGON (((-73.742304373775 40.713086232935, -73.742485240162 40.713066875865, -73.742493525167 40.713111693198, -73.742312658661 40.713131050281, -73.742304373775 40.713086232935)))",674808,"135,14453125",4110920016,930.419,Photogrammetric,72.0,2017 Aug 22 06:07:37 PM,"53,95989673302"
2090103,,2035990068,1.989,2.1,Constructed,"21,47",Bronx,Soundview-Clason Point,soundviewclasonpoint,"MULTIPOLYGON (((-73.861789303897 40.819670861532, -73.861966264767 40.819647177, -73.861979034087 40.819702241504, -73.861802073077 40.819725925155, -73.861789303897 40.819670861532)))",236592,"164,51171875",2035990068,1.022.806,Photogrammetric,18.0,2017 Aug 22 07:24:27 PM,"56,45700194359"
3384630,,3066300032,1.93,5.11,Constructed,"15,28",Brooklyn,Gravesend (West),gravesendwest,"MULTIPOLYGON (((-73.975093492644 40.607247277868, -73.975158248488 40.60724166452, -73.975163039639 40.607273772761, -73.975098283764 40.607279386112, -73.975093492644 40.607247277868)))",938532,"34,37890625",3066300032,703.568,Photogrammetric,27.0,2017 Aug 17 05:00:10 PM,"23,98711414313"
1043509,,1014150005,1.91,2.1,Constructed,"42,18",Manhattan,Upper East Side-Lenox Hill-Roosevelt Island,uppereastsidelenoxhillrooseveltisland,"MULTIPOLYGON (((-73.965394105186 40.762144261292, -73.965481067588 40.76202528209, -73.965543507816 40.762051667557, -73.965456545491 40.762170646805, -73.965434725456 40.762200498293, -73.965372286315 40.762174113669, -73.965394105186 40.762144261292)))",379290,199,1014150005,552.121,Photogrammetric,59.0,2017 Aug 22 06:12:13 PM,"65,92277283769"
4132837,,4059650052,1.94,2.1,Constructed,"25,79929116",Queens,Auburndale,auburndale,"MULTIPOLYGON (((-73.792431329579 40.77114097695, -73.792584460144 40.771124484386, -73.792594330117 40.771177457301, -73.792441200619 40.77119394898, -73.792431329579 40.77114097695)))",210893,"135,40234375",4059650052,197.001,Photogrammetric,94.0,2017 Aug 22 07:39:40 PM,"50,16293605416"
5053642,,5037000017,1.935,2.1,Constructed,"20,88",Staten Island,New Dorp-Midland Beach,newdorpmidlandbeach,"MULTIPOLYGON (((-74.104060873002 40.575256009615, -74.103982957014 40.575214182333, -74.1039985743 40.57519726804, -74.103991617078 40.575193533556, -74.104073264021 40.575105103687, -74.104168781037 40.575156379469, -74.104088026672 40.575243841433, -74.104077383974 40.575238127337, -74.104060873002 40.575256009615)))",96057,"238,015625",5037000017,613.411,Photogrammetric,9.0,2017 Aug 22 05:30:13 PM,"63,75568043738"
2019898,,2034300038,1.93,2.1,Constructed,"15,4",Bronx,Soundview-Clason Point,soundviewclasonpoint,"MULTIPOLYGON (((-73.85500291921 40.80683267743, -73.854995838143 40.8067951357, -73.854985680466 40.806796241344, -73.854979071573 40.806761197293, -73.85498923043 40.806760091651, -73.854981421833 40.806718689464, -73.854985833881 40.806718208744, -73.854982494864 40.806700508826, -73.855041848854 40.806694045845, -73.855045186699 40.80671174666, -73.855053572196 40.806710833291, -73.855075069694 40.806824821243, -73.85500291921 40.80683267743)))",169561,"160,90234375",2034300038,144.468,Photogrammetric,21.0,2017 Aug 22 05:50:34 PM,"57,64124371696"
3253708,,3067540049,1.93,2.1,Constructed,"33,57",Brooklyn,Midwood,midwood,"MULTIPOLYGON (((-73.957626585129 40.613293794734, -73.957381494579 40.613320647729, -73.957371261588 40.613266409135, -73.957616351944 40.613239556162, -73.957626585129 40.613293794734)))",437852,"221,4921875",3067540049,676.728,Photogrammetric,23.0,2017 Aug 22 03:17:35 PM,"71,20180875055"
