order_number,record_type,order_type,borough,on_street,on_street_suffix,from_street,from_street_suffix,to_street,to_street_suffix,side_of_street,order_completed_on_date,sign_code,sign_description,sign_size,sign_design_voided_on_date,sign_location,distance_from_intersection,arrow_direction,facing_direction,sheeting_type,support,sign_notes,sign_x_coord,sign_y_coord
S-01697953,Current,S-,Staten Island,LUTEN AVENUE,,AMBOY ROAD,,EYLANDT STREET,,W,03/04/2024,PS-376G,DAY - DAY XYY-XYY (FOR BUS STOP ONLY),016 X 006,,,1.589,,,PNTD,SAME,MONDAY-FRIDAY,931078.0,131348.0
P-01735545,Current,P-,Bronx,EAST GUN HILL ROAD,,FISH AVENUE,,BURKE AVENUE,,N,06/22/2024,PS-121BA,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY --> (SUPERSEDES SP-139CA & PS-23BA),018 X 012,,,113.0,East,,PNTD,DR,,1026123.0,256887.0
S-01756687,Current,S-,Queens,CHAPIN COURT,,CHAPIN PARKWAY,,165 STREET,,N,11/13/2024,PS-1G,"NO STANDING ANYTIME <-> (SUPERSEDES SP-1044B, SP-10B, SP-216B & SP-270B)",018 X 012,,,195.0,,,PNTD,DR,,1039646.0,199408.0
P-01772899,Current,P-,Staten Island,VICTORY BOULEVARD,,FIEDLER AVENUE,,ST PAULS AVENUE,,S,12/30/2024,PS-54C,2 HMP 9AM-7PM EXCEPT SUNDAY <-> (SUPERSEDES R7-182RB),018 X 018,,,625.0,,,PNTD,SAME,,961553.0,171226.0
P-01615875,Current,P-,Staten Island,NELSON AVENUE,,GIFFORDS GLEN,,AMBOY ROAD,,W,09/13/2023,SI-584G,14 STREET & UNION SQ (BOTTOM LOCATION PANEL)(USE AS EXAMPLE FOR DIFFERENT LOCATION),016 X 008,,,228.0,,,ENGG,SAME,NELSON AV & AMBOY RD,942293.0,139728.0
S-01674835,Current,S-,Brooklyn,WILLIAMSBURG ST WEST,,BEDFORD AVENUE,,WYTHE AVENUE,,W,11/13/2023,PS-16BA,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM --> (SUPERSEDES SP-850CA),018 X 012,,,230.0,South,,PNTD,DR,,995147.0,195352.0
P-440476,Current,P-,Manhattan,WEST   28 STREET,,BROADWAY,,5 AVENUE,,N,01/12/2024,PS-291C,3 HMP COMMERCIAL VEHICLES ONLY MONDAY-FRIDAY 8AM-7PM <-> (SUPERSEDES PS-23C),018 X 024,,,45.0,,,PNTD,DR,,987438.0,210789.0
S-01668596,Current,S-,Bronx,MORRIS AVENUE,,EAST  182 STREET,,EAST  183 STREET,,W,09/13/2023,PS-113B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9AM-10:30AM <-> (SUPERSEDES SP-413C),018 X 012,,,509.0,,,PNTD,LP,,1011355.0,251904.0
S-01656183,Current,S-,Brooklyn,HENDRIX STREET,,NEW LOTS AVENUE,,HEGEMAN AVENUE,,E,09/13/2023,PS-80BA,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11:30AM-1PM --> (SUPERSEDES SP-361CA),018 X 012,,,487.0,North,,PNTD,SAME,,1015753.0,180907.0
S-01742968,Current,S-,Staten Island,WILLOW BROOK ROAD,,FOREST AVENUE,,HOUSTON STREET,,W,10/14/2025,SP-477BA,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW,020 DIAMETER,,,90.0,North,,PNTD,BUSPOLE,201320,,
P-01670758,Current,P-,Manhattan,WEST   53 STREET,,6 AVENUE,,7 AVENUE,,N,03/07/2025,PS-10E,"TAXI HAILING (SYMBOL) TAXI STAND <-> (SUPERSEDES SP-327B,SP-433B, SP-555B & SP-557B)",018 X 012,,,190.0,,,PNTD,DR,,989867.0,216931.0
P-01772899,Current,P-,Staten Island,VICTORY BOULEVARD,,FIEDLER AVENUE,,ST PAULS AVENUE,,S,12/30/2024,PS-67GA,NO STANDING MONDAY-FRIDAY 7AM-9AM --> (SUPERSEDES R7-30RA),018 X 012,,,269.0,West,,PNTD,WP,,961553.0,171226.0
S-01797215,Current,S-,Brooklyn,METROPOLITAN AVENUE,,LEONARD STREET,,LORIMER STREET,,N,05/14/2025,PS-37GA,NO STANDING MONDAY-FRIDAY 7AM-10AM --> (SUPERSEDES R7-28RA),018 X 012,,,167.0,East,,PNTD,DR,,998577.0,199469.0
S-01668902,Current,S-,Brooklyn,STERLING STREET,,WASHINGTON AVENUE,,BEDFORD AVENUE,,S,09/13/2023,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-846C),018 X 012,,,257.0,,,PNTD,LP,,995363.0,180668.0
P-01696460,Current,P-,Manhattan,MADISON AVENUE,,EAST   39 STREET,,EAST   40 STREET,,W,01/29/2024,PS-610C,3 HMP COMMERCIAL VEHICLES ONLY 7AM-1PM EXCEPT SUNDAY <->,018 X 024,,,180.0,,,PNTD,SAME,,989692.0,213009.0
S-01745571,Current,S-,Queens,148 STREET,,87 AVENUE,,86 AVENUE,,E,11/13/2024,PS-1GA,"NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)",018 X 012,,,19.0,North,,PNTD,LP,LANE CLEARANCE,1037008.0,197068.0
S-01697953,Current,S-,Staten Island,LUTEN AVENUE,,AMBOY ROAD,,EYLANDT STREET,,W,03/04/2024,PS-376G,DAY - DAY XYY-XYY (FOR BUS STOP ONLY),016 X 006,,,1.482,,,PNTD,SAME,SCHOOL DAYS7AM-4PM,931027.0,131442.0
P-01675900,Current,P-,Queens,37 STREET,,31 AVENUE,,30 AVENUE,,E,04/27/2024,PS-7A,METERS ARE NOT IN EFFECT ABOVE TIMES (TO BE USED ONLY FOR CONFLICTING STREET CLEANING AND METERED PARKING REGULATIONS) (SUPERSEDES SW-473),018 X 006,,,944.0,,,PNTD,SAME,,1007272.0,217733.0
P-01675724,Current,P-,Queens,43 AVENUE,,GLEANE STREET,,LAMONT AVENUE,,N,04/27/2024,PS-7A,METERS ARE NOT IN EFFECT ABOVE TIMES (TO BE USED ONLY FOR CONFLICTING STREET CLEANING AND METERED PARKING REGULATIONS) (SUPERSEDES SW-473),018 X 006,,,161.0,,,PNTD,SAME,,1019306.0,210223.0
S-01668902,Current,S-,Brooklyn,STERLING STREET,,WASHINGTON AVENUE,,BEDFORD AVENUE,,S,09/13/2023,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-846C),018 X 012,,,404.0,,,PNTD,DR,,995509.0,180680.0
S-01668904,Current,S-,Brooklyn,WASHINGTON AVENUE,,LEFFERTS AVENUE,,STERLING STREET,,E,09/13/2023,PS-12BA,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM --> (SUPERSEDES SP-846CA),018 X 012,,,189.0,South,,PNTD,SAME,,995115.0,180554.0
